Address,Total Staked SYNR,Average Staked SYNR,SYNR Passes As SYNR Equivalent,Free Farms,Guaranteed Whitelists Turf,Guaranteed Whitelist Farms,Entry to Raffle for Guaranteed Whitelist Farm
0x0cd24d1537568f82237AC7d076D9418dc06b79d6,13076341,13076341,0,2,2,2,0
0xfaCAA385E2E81623C8cADA6d847aBf0814624b52,6666666,6666666,0,2,2,2,0
0xbB7DDaB6fD9B3A3c5f959cf2F7dB69acbe54c184,6250000,6250000,0,2,2,2,0
0xDa1EC4dA97019972759FedA1285878b97FDCC014,3132663,3132663,0,2,2,2,0
0x3487bA6A9c9FEA8AfAb35ebdF48B3A27532B7915,500477,500477,13,14,1,1,0
0x928c7D940ceCEd2f9AC6bAba5f582B18Ec1C7aBF,2666666,2666666,0,2,2,2,0
0x2d51caB9CE3dBACDA14aa65C5236D73b583bd156,2385722,2385722,0,2,2,2,0
0x8ee08C2ABB76488793b3204E75a4FAecd611E59F,1920000,1920000,0,2,2,2,0
0xbc8E4C006Bd1B96C1a50E8727F0b10874e6b261E,1830928,1830928,0,2,2,2,0
0x3aBcB5d5FB4044620c319bB63c5540a04e024AA1,1819474,1819474,0,2,2,2,0
0xF153BA46b70363A887ed7cddf87fbcbf2005D621,1000421,1000421,4,6,2,2,0
0x4eF6511BbbEcB6a0F663638cF22381364763FD71,1000100,1000100,3,5,2,2,0
0x2B08254f95422d7FdBfDE173E453e1F7e31C405B,1538461,1538461,0,2,2,2,0
0x88FeaD4cBc338F54C6a1517303cf79B3a03D7A2b,0,0,8,8,0,0,0
0x18e3398cAd87b063817B45D21684aF908e207468,1407956,1407956,0,2,2,2,0
0x233A515c1c3Af772509fB14cCa5F37072aa2a070,1374115,1374115,0,2,2,2,0
0xAC8869fcFBdEd40cb65450Abd4DB1A9e380aC7DD,1000000,1000000,1,3,2,2,0
0x1f15d72245348cf28d060e5BE2eD25a948B2f222,720056,720056,2,3,1,1,0
0xDCF723610fdeB412A9Fe17AE9C2df98c2CbCA10F,1062831,1062831,0,2,2,2,0
0xd341db5BB6176bEDB6c3e62Aa5CC07088325b7aF,1047808,1047808,0,2,2,2,0
0xd04111Fc8F4e432CF41166Bacb88994F7cbF3ff5,989605,989605,0,1,1,1,0
